미국 USD,"1,170.00"
유럽연합 EUR,"1,366.15"
일본 JPY (100엔),"1,030.16"
중국 CNY,183.13
홍콩 HKD,150.44
대만 TWD,42.07
영국 GBP,"1,613.84"
오만 OMR,"3,039.04"
캐나다 CAD,947.02
스위스 CHF,"1,283.25"
스웨덴 SEK,137.42
호주 AUD,882.59
뉴질랜드 NZD,840.53
체코 CZK,53.05
칠레 CLP,1.45
터키 TRY,122.73
몽골 MNT,0.41
이스라엘 ILS,369.67
덴마크 DKK,183.65
노르웨이 NOK,140.31
사우디아라비아 SAR,311.91
쿠웨이트 KWD,"3,879.95"
바레인 BHD,"3,103.45"
아랍에미리트 AED,318.53
요르단 JOD,"1,650.21"
이집트 EGP,74.47
태국 THB,35.28
싱가포르 SGD,870.44
말레이시아 MYR,282.40
인도네시아 IDR 100,8.28
카타르 QAR,321.34
카자흐스탄 KZT,2.74
브루나이 BND,870.44
인도 INR,15.64
파키스탄 PKR,6.80
방글라데시 BDT,13.66
필리핀 PHP,23.12
멕시코 MXN,57.34
브라질 BRL,207.21
베트남 VND 100,5.14
남아프리카 공화국 ZAR,77.30
러시아 RUB,16.63
헝가리 HUF,3.78
폴란드 PLN,295.31
